"Sample"	"Detector"	"Cq"
"236"	"CIC007"	"hsa-miR-551b"	"14.486"
"237"	"CIC007"	"hsa-miR-574-3p"	"30.396"
"238"	"CIC007"	"hsa-miR-590-5p"	"25.075"
"239"	"CIC007"	"hsa-miR-597"	"27.647"
"240"	"CIC007"	"hsa-miR-598"	"28.988"
"241"	"CIC007"	"hsa-miR-618"	"14.94"
"242"	"CIC007"	"hsa-miR-628-5p"	"16.297"
"243"	"CIC007"	"hsa-miR-651"	"27.939"
"244"	"CIC007"	"hsa-miR-652"	"19.551"
"245"	"CIC007"	"hsa-miR-660"	"32.344"
"246"	"CIC007"	"hsa-miR-708"	"25.834"
"247"	"CIC007"	"hsa-miR-885-5p"	"37.044"
"248"	"CIC007"	"hsa-miR-9"	"30.535"
"249"	"CIC007"	"hsa-miR-92a"	"28.544"
"250"	"CIC007"	"hsa-miR-99a"	"26.998"
"251"	"CIC007"	"hsa-miR-99b"	"32.707"
"252"	"CIC007"	"mmu-miR-140"	"31.731"
"253"	"CIC007"	"mmu-miR-93"	"30.578"
"254"	"CIC007"	"RNU48"	"32.981"
"255"	"CIC007"	"U6_snRNA_rt1"	"28.81"
"256"	"CIC007"	"U6_snRNA_rt2"	"28.295"
"257"	"CIC007"	"U6_snRNA_rt3"	"28.07"
"258"	"CIC007"	"U6_snRNA_rt4"	"27.815"
"259"	"CMV008"	"ath-miR159a"	"16.757"
"260"	"CMV008"	"hsa-let-7b"	"28.559"
"261"	"CMV008"	"hsa-let-7c"	"30.069"
"262"	"CMV008"	"hsa-miR-100"	"31.94"
"263"	"CMV008"	"hsa-miR-106a"	"19.742"
"264"	"CMV008"	"hsa-miR-106b"	"29.145"
"265"	"CMV008"	"hsa-miR-125b"	"26.362"
"266"	"CMV008"	"hsa-miR-126"	"33.468"
"267"	"CMV008"	"hsa-miR-127"	"32.388"
"268"	"CMV008"	"hsa-miR-130a"	"28.918"
"269"	"CMV008"	"hsa-miR-130b"	"30.836"
"270"	"CMV008"	"hsa-miR-133a"	"29.133"
"271"	"CMV008"	"hsa-miR-138"	NA
"272"	"CMV008"	"hsa-miR-142-3p"	"31.408"
"273"	"CMV008"	"hsa-miR-143"	"25.186"
"274"	"CMV008"	"hsa-miR-145"	"28.65"
"275"	"CMV008"	"hsa-miR-146a"	"30.237"
"276"	"CMV008"	"hsa-miR-147"	"29.866"
"277"	"CMV008"	"hsa-miR-148a"	"25.93"
"278"	"CMV008"	"hsa-miR-150"	"28.873"
"279"	"CMV008"	"hsa-miR-152"	"39.14"
"280"	"CMV008"	"hsa-miR-155"	"19.827"
"281"	"CMV008"	"hsa-miR-15a"	"29.596"
"282"	"CMV008"	"hsa-miR-15b"	"32.849"
"283"	"CMV008"	"hsa-miR-16"	"30.587"
"284"	"CMV008"	"hsa-miR-181a"	"36.591"
"285"	"CMV008"	"hsa-miR-184"	"25.463"
"286"	"CMV008"	"hsa-miR-186"	"28.396"
"287"	"CMV008"	"hsa-miR-191"	"30.047"
"288"	"CMV008"	"hsa-miR-192"	"30.336"
"289"	"CMV008"	"hsa-miR-193a-5p"	"32.487"
"290"	"CMV008"	"hsa-miR-193b"	"30.21"
"291"	"CMV008"	"hsa-miR-194"	"15.33"
"292"	"CMV008"	"hsa-miR-195"	"28.259"
"293"	"CMV008"	"hsa-miR-197"	"27.287"
"294"	"CMV008"	"hsa-miR-199a-3p"	"33.12"
"295"	"CMV008"	"hsa-miR-19a"	"29.865"
"296"	"CMV008"	"hsa-miR-19b"	"25.626"
"297"	"CMV008"	"hsa-miR-200b"	"30.746"
"298"	"CMV008"	"hsa-miR-200c"	"31.132"
"299"	"CMV008"	"hsa-miR-202"	"31.233"
"300"	"CMV008"	"hsa-miR-203"	"26.927"
"301"	"CMV008"	"hsa-miR-204"	"22.446"
"302"	"CMV008"	"hsa-miR-20a"	"27.054"
"303"	"CMV008"	"hsa-miR-20b"	"33.226"
"304"	"CMV008"	"hsa-miR-21"	"25.576"
"305"	"CMV008"	"hsa-miR-211"	"21.073"
"306"	"CMV008"	"hsa-miR-212"	"28.318"
"307"	"CMV008"	"hsa-miR-214"	"33.252"
"308"	"CMV008"	"hsa-miR-218"	"30.223"
"309"	"CMV008"	"hsa-miR-222"	"28.467"
"310"	"CMV008"	"hsa-miR-223"	"29.062"
"311"	"CMV008"	"hsa-miR-23b"	NA
"312"	"CMV008"	"hsa-miR-24"	"25.842"
"313"	"CMV008"	"hsa-miR-25"	"26.954"
"314"	"CMV008"	"hsa-miR-26a"	"32.204"
"315"	"CMV008"	"hsa-miR-27a"	"30.811"
"316"	"CMV008"	"hsa-miR-27b"	"31.506"
"317"	"CMV008"	"hsa-miR-28-3p"	"31.019"
"318"	"CMV008"	"hsa-miR-296"	"31.303"
"319"	"CMV008"	"hsa-miR-29a"	"29.191"
"320"	"CMV008"	"hsa-miR-29c"	"31.178"
"321"	"CMV008"	"hsa-miR-302a"	"20.973"
"322"	"CMV008"	"hsa-miR-302b"	"21.456"
